2021-08-01 13:54:34 DEBUG    [29]HTML2mdConverter.py: Replace link description with the page title https://twitter.com/FiQuiPedia/status/716640244976713729
2021-08-01 13:54:34 DEBUG    [29]HTML2mdConverter.py: Replace link description with the page title http://rseq.org/material-didactico/item/1071-resumen-de-las-normas-iupac-2005-de-nomenclatura-de-qu%C3%ADmica-inorg%C3%A1nica-para-su-uso-en-ense%C3%B1anza-secundaria-y-recomendaciones-did%C3%A1cticas
2021-08-01 13:54:38 WARNING  [146]URLUtils.py: Error reading URL: http://rseq.org/material-didactico/item/1071-resumen-de-las-normas-iupac-2005-de-nomenclatura-de-qu%C3%ADmica-inorg%C3%A1nica-para-su-uso-en-ense%C3%B1anza-secundaria-y-recomendaciones-did%C3%A1cticas : Not Found
2021-08-01 13:54:38 DEBUG    [29]HTML2mdConverter.py: Replace link description with the page title https://www.educaciontrespuntocero.com/recursos/recursos-para-fisica/95530.html
2021-08-01 13:54:39 DEBUG    [29]HTML2mdConverter.py: Replace link description with the page title https://www.educaciontrespuntocero.com/experiencias/frikiexamenes-estres-estudiantes/
2021-08-01 13:54:39 DEBUG    [29]HTML2mdConverter.py: Replace link description with the page title https://elpais.com/espana/madrid/2020-10-01/madrid-gasta-cerca-de-17-millones-de-euros-en-materiales-digitales-para-educamadrid.html
2021-08-01 13:54:40 DEBUG    [59]HTML2md.py: Copying: /Users/joaquin/PycharmProjects/fiquipedia-html/www.fiquipedia.es/activity.xml
2021-08-01 13:54:40 DEBUG    [59]HTML2md.py: Copying: /Users/joaquin/PycharmProjects/fiquipedia-html/www.fiquipedia.es/robots.txt
2021-08-01 13:54:40 DEBUG    [48]HTML2md.py: HTML2MD: /Users/joaquin/PycharmProjects/fiquipedia-html/www.fiquipedia.es/home/pruebas-premios-extraordinarios
2021-08-01 13:54:40 INFO     [49]__init__.py: file_cache is only supported with oauth2client<4.0.0
2021-08-01 13:54:40 DEBUG    [29]HTML2mdConverter.py: Replace link description with the page title https://www.educa2.madrid.org/web/innovacioneducativa/actividadesculturalesyartisticas
2021-08-01 13:54:42 DEBUG    [59]HTML2md.py: Copying: /Users/joaquin/PycharmProjects/fiquipedia-html/www.fiquipedia.es/home/logo-rseq-2016.jpg
2021-08-01 13:54:42 DEBUG    [59]HTML2md.py: Copying: /Users/joaquin/PycharmProjects/fiquipedia-html/www.fiquipedia.es/home/FiquipediaQR.png
2021-08-01 13:54:42 DEBUG    [59]HTML2md.py: Copying: /Users/joaquin/PycharmProjects/fiquipedia-html/www.fiquipedia.es/home/2017-06-23-LogoFiquipedia.png
2021-08-01 13:54:42 DEBUG    [59]HTML2md.py: Copying: /Users/joaquin/PycharmProjects/fiquipedia-html/www.fiquipedia.es/home/pruebas-de-acceso-a-grado-medio/ficheros-pruebas-acceso-grado-medio/GM-PruebaAcceso-MateriaEnergia-soluc.pdf
