2021-08-02 16:52:43 DEBUG    [29]HTML2mdConverter.py: Replace link description with the page title http://www.bocm.es/boletin/CM_Orden_BOCM/2020/05/18/BOCM-20200518-1.PDF#page=22
2021-08-02 16:52:44 DEBUG    [54]HTML2md.py: Copying: /Users/joaquin/PycharmProjects/fiquipedia-html/www.fiquipedia.es/home/materias/eso/.DS_Store
2021-08-02 16:52:44 DEBUG    [45]HTML2md.py: HTML2MD: /Users/joaquin/PycharmProjects/fiquipedia-html/www.fiquipedia.es/home/materias/eso/curriculo-fisica-y-quimica-2-eso
2021-08-02 16:52:44 DEBUG    [29]HTML2mdConverter.py: Replace link description with the page title http://www.boe.es/boe/dias/2015/07/21/pdfs/BOE-A-2015-8149.pdf#page=132
2021-08-02 16:52:45 DEBUG    [45]HTML2md.py: HTML2MD: /Users/joaquin/PycharmProjects/fiquipedia-html/www.fiquipedia.es/home/materias/eso/ciencias-de-la-naturaleza-1y2eso
2021-08-02 16:52:45 DEBUG    [45]HTML2md.py: HTML2MD: /Users/joaquin/PycharmProjects/fiquipedia-html/www.fiquipedia.es/home/materias/eso/ambito-cientifico-matematico---pmar
2021-08-02 16:52:45 DEBUG    [29]HTML2mdConverter.py: Replace link description with the page title https://www.boe.es/buscar/act.php?id=BOE-A-2015-37#a19
2021-08-02 16:52:46 DEBUG    [45]HTML2md.py: HTML2MD: /Users/joaquin/PycharmProjects/fiquipedia-html/www.fiquipedia.es/home/materias/eso/4-eso-biologia-y-geologia
2021-08-02 16:52:46 DEBUG    [45]HTML2md.py: HTML2MD: /Users/joaquin/PycharmProjects/fiquipedia-html/www.fiquipedia.es/home/materias/eso/ampliacion-fisica-y-quimica-4-eso/curriculo-ampliacion-fisica-quimica-4-eso
2021-08-02 16:52:46 DEBUG    [45]HTML2md.py: HTML2MD: /Users/joaquin/PycharmProjects/fiquipedia-html/www.fiquipedia.es/home/materias/eso/ampliacion-fisica-y-quimica-4-eso/curriculo-ampliacion-fisica-quimica-4-eso-lomce
2021-08-02 16:52:46 DEBUG    [29]HTML2mdConverter.py: Replace link description with the page title http://www.bocm.es/boletin/CM_Orden_BOCM/2016/07/01/BOCM-20160701-7.PDF
2021-08-02 16:52:46 DEBUG    [45]HTML2md.py: HTML2MD: /Users/joaquin/PycharmProjects/fiquipedia-html/www.fiquipedia.es/home/materias/eso/cultura-cientifica-4-eso/recursos-cultura-cientifica-4-eso
2021-08-02 16:52:46 DEBUG    [29]HTML2mdConverter.py: Replace link description with the page title https://www.quora.com/Why-do-so-many-people-blindly-accept-the-global-warming-hypothesis-without-making-any-unbiased-research/answer/Diane-Burrell-1
2021-08-02 16:52:47 DEBUG    [45]HTML2md.py: HTML2MD: /Users/joaquin/PycharmProjects/fiquipedia-html/www.fiquipedia.es/home/materias/eso/cultura-cientifica-4-eso/curriculo-cultura-cientifica-4-eso
2021-08-02 16:52:47 DEBUG    [45]HTML2md.py: HTML2MD: /Users/joaquin/PycharmProjects/fiquipedia-html/www.fiquipedia.es/home/materias/eso/ciencias-aplicadas-a-la-actividad-profesional-4-eso/curriculo-ciencias-aplicadas-a-la-actividad-profesional-4-eso-lomce
2021-08-02 16:52:47 DEBUG    [45]HTML2md.py: HTML2MD: /Users/joaquin/PycharmProjects/fiquipedia-html/www.fiquipedia.es/home/materias/eso/ciencias-aplicadas-a-la-actividad-profesional-4-eso/curriculo-ciencias-aplicadas-a-la-actividad-profesional-4-eso
2021-08-02 16:52:47 DEBUG    [45]HTML2md.py: HTML2MD: /Users/joaquin/PycharmProjects/fiquipedia-html/www.fiquipedia.es/home/materias/eso/fisicayquimica-4eso/contenidos-del-curriculo-con-enlaces-a-recursos-4-eso-fisica-y-quimica
2021-08-02 16:52:47 DEBUG    [29]HTML2mdConverter.py: Replace link description with the page title http://aprendiendociencias.wordpress.com/fisica-y-quimica-para-4%C2%BA-eso/
2021-08-02 16:52:48 DEBUG    [29]HTML2mdConverter.py: Replace link description with the page title http://aprendiendociencias.wordpress.com/category/4-eso/
2021-08-02 16:52:48 DEBUG    [29]HTML2mdConverter.py: Replace link description with the page title http://fyq4eso.wordpress.com/
2021-08-02 16:52:49 DEBUG    [29]HTML2mdConverter.py: Replace link description with the page title http://recursostic.educacion.es/secundaria/edad/4esofisicaquimica/4quincena8/4q8_index.htm
2021-08-02 16:52:49 DEBUG    [29]HTML2mdConverter.py: Replace link description with the page title http://recursostic.educacion.es/secundaria/edad/3esofisicaquimica/3quincena6/3q6_index.htm
2021-08-02 16:52:50 DEBUG    [29]HTML2mdConverter.py: Replace link description with the page title http://recursostic.educacion.es/secundaria/edad/3esofisicaquimica/3quincena6/actividades6/masa_ponderada.htm
2021-08-02 16:52:50 DEBUG    [45]HTML2md.py: HTML2MD: /Users/joaquin/PycharmProjects/fiquipedia-html/www.fiquipedia.es/home/materias/eso/fisicayquimica-4eso/curriculofisicayquimica-4eso
2021-08-02 16:52:50 DEBUG    [45]HTML2md.py: HTML2MD: /Users/joaquin/PycharmProjects/fiquipedia-html/www.fiquipedia.es/home/materias/eso/fisicayquimica-4eso/curriculo-fisica-y-quimica-4-eso-lomce
2021-08-02 16:52:50 DEBUG    [29]HTML2mdConverter.py: Replace link description with the page title https://twitter.com/FiQuiPedia/status/645638063050346496
2021-08-02 16:52:50 DEBUG    [45]HTML2md.py: HTML2MD: /Users/joaquin/PycharmProjects/fiquipedia-html/www.fiquipedia.es/home/materias/eso/fisica-y-quimica-3-eso/curriculofisicayquimica-3eso
2021-08-02 16:52:50 DEBUG    [45]HTML2md.py: HTML2MD: /Users/joaquin/PycharmProjects/fiquipedia-html/www.fiquipedia.es/home/materias/eso/fisica-y-quimica-3-eso/curriculo-3-eso-fisica-y-quimica-lomce
2021-08-02 16:52:50 DEBUG    [45]HTML2md.py: HTML2MD: /Users/joaquin/PycharmProjects/fiquipedia-html/www.fiquipedia.es/home/materias/eso/fisica-y-quimica-3-eso/cotenidoscurriculoenlacesrecursos3esofisicayquimica
2021-08-02 16:52:50 DEBUG    [45]HTML2md.py: HTML2MD: /Users/joaquin/PycharmProjects/fiquipedia-html/www.fiquipedia.es/home/materias/eso/fisica-y-quimica-2-eso/recursos-fisica-y-quimica-2-eso
2021-08-02 16:52:50 DEBUG    [29]HTML2mdConverter.py: Replace link description with the page title http://fisquiweb.es/Apuntes/apun2.htm
2021-08-02 16:52:50 DEBUG    [29]HTML2mdConverter.py: Replace link description with the page title http://clasesfisicayquimica.blogspot.com.es/p/fisica-y-quimica-2-eso.html
2021-08-02 16:52:51 DEBUG    [29]HTML2mdConverter.py: Replace link description with the page title http://fq.iespm.es/index.php/secundaria-obligatoria/fisica-y-quimica-2-eso/materiales
2021-08-02 16:52:52 DEBUG    [29]HTML2mdConverter.py: Replace link description with the page title http://fisicayquimicaenflash.es/eso/eso.html
2021-08-02 16:52:52 DEBUG    [29]HTML2mdConverter.py: Replace link description with the page title http://www3.gobiernodecanarias.org/medusa/ecoblog/mramrodp/category/cna-2o-eso/
2021-08-02 16:52:53 DEBUG    [29]HTML2mdConverter.py: Replace link description with the page title https://www.educa2.madrid.org/web/clasefyq/fq-2-eso
2021-08-02 16:52:54 DEBUG    [29]HTML2mdConverter.py: Replace link description with the page title https://www.youtube.com/playlist?list=PL16zm8z0lIv16dqCv1Z_8q-c2cd1nigUH
